experiment_group,problem,metric,direction,reference_variant,comparison_variant,n_ref,n_cmp,n_pairs,n_nonzero_differences,n_nan_ref,n_nan_cmp,n_inf_ref,n_inf_cmp,n_unique_ref,n_unique_cmp,test_name,paired,test_executed,holm_included,p_value_raw,p_value_holm,effect_size_name,effect_size,effect_direction,status,reason_class,report_status,interpretation
A1_supplementary,DASCMOP1_difficulty13,gd,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,1.862645149230957e-09,5.587935447692871e-09,cliffs_delta_comparison_minus_reference,-0.9354838709677419,comparison_better,usable,ok,usable,comparison_better; significant after Holm
A1_supplementary,DASCMOP1_difficulty13,spread,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,0.060623603872954845,0.060623603872954845,cliffs_delta_comparison_minus_reference,-0.39854318418314255,comparison_better,usable,ok,usable,comparison_better; not significant after Holm
A1_supplementary,DASCMOP1_difficulty13,spread,lower,MOSADE,MOSADE_eps_zero,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,9.313225746154785e-10,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,-1.0,comparison_better,usable,ok,usable,comparison_better; significant after Holm
A1_supplementary,DASCMOP1_difficulty13,spread,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,9.313225746154785e-10,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,-1.0,comparison_better,usable,ok,usable,comparison_better; significant after Holm
A1_supplementary,DASCMOP1_difficulty13,time_s,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,9.313225746154785e-10,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,0.9875130072840791,reference_better,usable,ok,usable,reference_better; significant after Holm
A1_supplementary,DASCMOP1_difficulty13,time_s,lower,MOSADE,MOSADE_eps_zero,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,9.313225746154785e-10,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,0.991675338189386,reference_better,usable,ok,usable,reference_better; significant after Holm
A1_supplementary,DASCMOP1_difficulty13,time_s,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,0.007087168283760548,0.007087168283760548,cliffs_delta_comparison_minus_reference,0.22164412070759626,reference_better,usable,ok,usable,reference_better; significant after Holm
A1_supplementary,DASCMOP4_difficulty13,hv,higher,MOSADE,MOSADE_fixed_eps_initial,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,9.313225746154785e-10,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,-0.991675338189386,reference_better,usable,ok,usable,reference_better; significant after Holm
A1_supplementary,DASCMOP4_difficulty13,hv,higher,MOSADE,MOSADE_eps_zero,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,5.122274160385132e-08,5.122274160385132e-08,cliffs_delta_comparison_minus_reference,0.8459937565036421,comparison_better,usable,ok,usable,comparison_better; significant after Holm
A1_supplementary,DASCMOP4_difficulty13,hv,higher,MOSADE_fixed_eps_initial,MOSADE_eps_zero,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,9.313225746154785e-10,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,1.0,comparison_better,usable,ok,usable,comparison_better; significant after Holm
A1_supplementary,DASCMOP4_difficulty13,igd,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,9.313225746154785e-10,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,0.9979188345473465,reference_better,usable,ok,usable,reference_better; significant after Holm
A1_supplementary,DASCMOP4_difficulty13,igd,lower,MOSADE,MOSADE_eps_zero,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,9.313225746154785e-10,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,-1.0,comparison_better,usable,ok,usable,comparison_better; significant after Holm
A1_supplementary,DASCMOP4_difficulty13,igd,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,9.313225746154785e-10,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,-1.0,comparison_better,usable,ok,usable,comparison_better; significant after Holm
A1_supplementary,DASCMOP4_difficulty13,igd_plus,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,9.313225746154785e-10,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,1.0,reference_better,usable,ok,usable,reference_better; significant after Holm
A1_supplementary,DASCMOP4_difficulty13,igd_plus,lower,MOSADE,MOSADE_eps_zero,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,9.313225746154785e-10,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,-1.0,comparison_better,usable,ok,usable,comparison_better; significant after Holm
A1_supplementary,DASCMOP4_difficulty13,igd_plus,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,9.313225746154785e-10,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,-1.0,comparison_better,usable,ok,usable,comparison_better; significant after Holm
A1_supplementary,DASCMOP4_difficulty13,gd,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,9.313225746154785e-10,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,1.0,reference_better,usable,ok,usable,reference_better; significant after Holm
A1_supplementary,DASCMOP4_difficulty13,gd,lower,MOSADE,MOSADE_eps_zero,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,9.313225746154785e-09,9.313225746154785e-09,cliffs_delta_comparison_minus_reference,-0.8459937565036421,comparison_better,usable,ok,usable,comparison_better; significant after Holm
A1_supplementary,DASCMOP4_difficulty13,gd,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,9.313225746154785e-10,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,-1.0,comparison_better,usable,ok,usable,comparison_better; significant after Holm
A1_supplementary,DASCMOP4_difficulty13,spread,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,1.9278377294540405e-07,1.9278377294540405e-07,cliffs_delta_comparison_minus_reference,-0.7481789802289281,comparison_better,usable,ok,usable,comparison_better; significant after Holm
A1_supplementary,DASCMOP4_difficulty13,spread,lower,MOSADE,MOSADE_eps_zero,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,9.313225746154785e-10,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,-1.0,comparison_better,usable,ok,usable,comparison_better; significant after Holm
A1_supplementary,DASCMOP4_difficulty13,spread,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,9.313225746154785e-10,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,-1.0,comparison_better,usable,ok,usable,comparison_better; significant after Holm
A1_supplementary,DASCMOP4_difficulty13,time_s,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,1.862645149230957e-09,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,-0.7960457856399584,comparison_better,usable,ok,usable,comparison_better; significant after Holm
A1_supplementary,DASCMOP4_difficulty13,time_s,lower,MOSADE,MOSADE_eps_zero,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,9.313225746154785e-10,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,0.9875130072840791,reference_better,usable,ok,usable,reference_better; significant after Holm
A1_supplementary,DASCMOP4_difficulty13,time_s,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,9.313225746154785e-10,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,1.0,reference_better,usable,ok,usable,reference_better; significant after Holm
A1_supplementary,DASCMOP4_difficulty7,hv,higher,MOSADE,MOSADE_fixed_eps_initial,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DASCMOP4_difficulty7,hv,higher,MOSADE,MOSADE_eps_zero,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DASCMOP4_difficulty7,hv,higher,MOSADE_fixed_eps_initial,MOSADE_eps_zero,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DASCMOP4_difficulty7,igd,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DASCMOP4_difficulty7,igd,lower,MOSADE,MOSADE_eps_zero,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DASCMOP4_difficulty7,igd,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DASCMOP4_difficulty7,igd_plus,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DASCMOP4_difficulty7,igd_plus,lower,MOSADE,MOSADE_eps_zero,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DASCMOP4_difficulty7,igd_plus,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DASCMOP4_difficulty7,gd,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DASCMOP4_difficulty7,gd,lower,MOSADE,MOSADE_eps_zero,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DASCMOP4_difficulty7,gd,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DASCMOP4_difficulty7,spread,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DASCMOP4_difficulty7,spread,lower,MOSADE,MOSADE_eps_zero,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DASCMOP4_difficulty7,spread,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,31,31,31,0,0,0,0,0,31,31,Wilcoxon signed-rank,True,False,False,1.0,1.0,cliffs_delta_comparison_minus_reference,0.0,no_effect,all_zero_differences_no_effect,all_zero_differences,usable,paired values are identical; no effect
A1_supplementary,DASCMOP4_difficulty7,time_s,lower,MOSADE,MOSADE_fixed_eps_initial,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,0.10233690217137337,0.10233690217137337,cliffs_delta_comparison_minus_reference,0.01768990634755463,reference_better,usable,ok,usable,reference_better; not significant after Holm
A1_supplementary,DASCMOP4_difficulty7,time_s,lower,MOSADE,MOSADE_eps_zero,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,9.313225746154785e-10,2.7939677238464355e-09,cliffs_delta_comparison_minus_reference,0.09053069719042664,reference_better,usable,ok,usable,reference_better; significant after Holm
A1_supplementary,DASCMOP4_difficulty7,time_s,lower,MOSADE_fixed_eps_initial,MOSADE_eps_zero,31,31,31,31,0,0,0,0,31,31,Wilcoxon signed-rank,True,True,True,0.0009035775437951088,0.0018071550875902176,cliffs_delta_comparison_minus_reference,0.06971904266389178,reference_better,usable,ok,usable,reference_better; significant after Holm
